mssv,email,name,birthday
21127122,student122@unihub.edu.vn,Vu Thanh Minh,09062000
21127123,student123@unihub.edu.vn,Bui Thanh Tung,05062002
21127124,student124@unihub.edu.vn,Bui Phuong Hanh,26042005
21127125,student125@unihub.edu.vn,Pham Gia Quan,20012004
21127126,student126@unihub.edu.vn,Hoang Minh Em,01012003
21127127,student127@unihub.edu.vn,Tran Anh Tung,03042003
21127128,student128@unihub.edu.vn,Bui Hoang Uyen,13062001
21127129,student129@unihub.edu.vn,Pham Anh Em,27062003
21127130,student130@unihub.edu.vn,Vu Anh Minh,18032002
21127131,student131@unihub.edu.vn,Nguyen Anh Xuan,02082004
21127132,student132@unihub.edu.vn,Tran Thi Yen,28092001
21127133,student133@unihub.edu.vn,Le Minh Dung,06072002
21127134,student134@unihub.edu.vn,Pham Thi Minh,05022000
21127135,student135@unihub.edu.vn,Do Van Giang,25042001
21127136,student136@unihub.edu.vn,Pham Thi Son,24102000
21127137,student137@unihub.edu.vn,Le Anh Giang,19022001
21127138,student138@unihub.edu.vn,Vu Hoang Quan,01092000
21127139,student139@unihub.edu.vn,Do Anh An,10032002
21127140,student140@unihub.edu.vn,Nguyen Duc Khanh,24082004
21127141,student141@unihub.edu.vn,Vu Quoc Quan,17092000
21127142,student142@unihub.edu.vn,Dang Quoc Xuan,12042002
21127143,student143@unihub.edu.vn,Pham Duc Quan,26112000
21127144,student144@unihub.edu.vn,Hoang Hoang Giang,18092002
21127145,student145@unihub.edu.vn,Do Anh Em,01052005
21127146,student146@unihub.edu.vn,Nguyen Phuong Ien,20062003
21127147,student147@unihub.edu.vn,Phan Anh Dung,12042000
21127148,student148@unihub.edu.vn,Hoang Gia Giang,17052005
21127149,student149@unihub.edu.vn,Pham Quoc Dung,02052005
21127150,student150@unihub.edu.vn,Vu Thanh Ri,12102000
21127151,student151@unihub.edu.vn,Dang Thi Xuan,25012000
21127152,student152@unihub.edu.vn,Do Duc Xuan,21022000
21127153,student153@unihub.edu.vn,Phan Phuong Dung,20062001
21127154,student154@unihub.edu.vn,Le Van Giang,12112004
21127155,student155@unihub.edu.vn,Do Duc Minh,19122004
21127156,student156@unihub.edu.vn,Nguyen Minh Dung,19052004
21127157,student157@unihub.edu.vn,Le Phuong Xuan,23042004
21127158,student158@unihub.edu.vn,Phan Minh Em,11012004
21127159,student159@unihub.edu.vn,Bui Phuong Quan,25092004
21127160,student160@unihub.edu.vn,Vu Quoc Cuong,13012004
21127161,student161@unihub.edu.vn,Phan Anh Oanh,04012004
21127162,student162@unihub.edu.vn,Phan Minh Uyen,15092003
21127163,student163@unihub.edu.vn,Tran Thanh Khanh,06062001
21127164,student164@unihub.edu.vn,Phan Quoc Son,26122005
21127165,student165@unihub.edu.vn,Tran Van Lam,23122004
21127166,student166@unihub.edu.vn,Pham Van Nam,16032001
21127167,student167@unihub.edu.vn,Le Quoc Uyen,25032005
21127168,student168@unihub.edu.vn,Hoang Thanh Giang,10042000
21127169,student169@unihub.edu.vn,Le Hoang Binh,10092000
21127170,student170@unihub.edu.vn,Phan Thanh Nam,25042003
21127171,student171@unihub.edu.vn,Pham Gia Xuan,02062004
21127172,student172@unihub.edu.vn,Do Hoang Ien,18012000
21127173,student173@unihub.edu.vn,Phan Gia Uyen,14102001
21127174,student174@unihub.edu.vn,Hoang Thanh Lam,16092004
21127175,student175@unihub.edu.vn,Nguyen Quoc Lam,25042000
21127176,student176@unihub.edu.vn,Le Anh Nam,18022002
21127177,student177@unihub.edu.vn,Bui Hoang Vinh,25052005
21127178,student178@unihub.edu.vn,Dang Phuong Minh,20082001
21127179,student179@unihub.edu.vn,Le Minh Oanh,18042002
21127180,student180@unihub.edu.vn,Tran Thi Xuan,07122003
21127181,student181@unihub.edu.vn,Phan Gia Khanh,14012004
21127182,student182@unihub.edu.vn,Vu Duc Vinh,18062005
21127183,student183@unihub.edu.vn,Bui Thi Binh,03102005
21127184,student184@unihub.edu.vn,Phan Minh Quan,02052004
21127185,student185@unihub.edu.vn,Bui Phuong Yen,20022003
21127186,student186@unihub.edu.vn,Bui Phuong Khanh,25042000
21127187,student187@unihub.edu.vn,Vu Quoc Yen,07062005
21127188,student188@unihub.edu.vn,Hoang Hoang Em,06092002
21127189,student189@unihub.edu.vn,Nguyen Thanh Tung,09032000
21127190,student190@unihub.edu.vn,Vu Van Hanh,08082003
21127191,student191@unihub.edu.vn,Hoang Gia Binh,25082002
21127192,student192@unihub.edu.vn,Le Quoc Phuc,03062001
21127193,student193@unihub.edu.vn,Vu Minh Dung,11082003
21127194,student194@unihub.edu.vn,Hoang Duc An,09122004
21127195,student195@unihub.edu.vn,Dang Thanh Ien,17082002
21127196,student196@unihub.edu.vn,Le Thi Uyen,10012005
21127197,student197@unihub.edu.vn,Nguyen Quoc Em,14012005
21127198,student198@unihub.edu.vn,Vu Minh Lam,13052003
21127199,student199@unihub.edu.vn,Pham Thi Phong,06072005
21127200,student200@unihub.edu.vn,Vu Thanh Vinh,02102001
21127201,student201@unihub.edu.vn,Hoang Minh An,11082005
21127202,student202@unihub.edu.vn,Phan Hoang Binh,06102003
21127203,student203@unihub.edu.vn,Pham Van Phuc,22112005
21127204,student204@unihub.edu.vn,Nguyen Hoang Hanh,10092001
21127205,student205@unihub.edu.vn,Hoang Thanh Giang,15012001
21127206,student206@unihub.edu.vn,Pham Gia Vinh,22062001
21127207,student207@unihub.edu.vn,Vu Minh Ri,06122004
21127208,student208@unihub.edu.vn,Le Duc Quan,19042005
21127209,student209@unihub.edu.vn,Hoang Thanh Hanh,09092000
21127210,student210@unihub.edu.vn,Dang Hoang Cuong,12032004
21127211,student211@unihub.edu.vn,Le Thanh Cuong,07052002
21127212,student212@unihub.edu.vn,Nguyen Minh Phuc,07122003
21127213,student213@unihub.edu.vn,Do Quoc Vinh,19022003
21127214,student214@unihub.edu.vn,Tran Duc Cuong,13082003
21127215,student215@unihub.edu.vn,Vu Gia Phong,08102000
21127216,student216@unihub.edu.vn,Vu Quoc Phong,27102003
21127217,student217@unihub.edu.vn,Pham Duc Ri,06122000
21127218,student218@unihub.edu.vn,Hoang Phuong Xuan,08092003
21127219,student219@unihub.edu.vn,Tran Phuong Cuong,06012001
21127220,student220@unihub.edu.vn,Nguyen Duc Hanh,27102004
21127221,student221@unihub.edu.vn,Nguyen Thanh Lam,03072005
21127222,student222@unihub.edu.vn,Le Van Cuong,02082000
21127223,student223@unihub.edu.vn,Hoang Thi Yen,05082003
21127224,student224@unihub.edu.vn,Hoang Anh Lam,08102005
21127225,student225@unihub.edu.vn,Bui Minh Vinh,07112005
21127226,student226@unihub.edu.vn,Dang Thanh Ri,02012005
21127227,student227@unihub.edu.vn,Hoang Gia Phong,01012003
21127228,student228@unihub.edu.vn,Bui Minh Phuc,04012001
21127229,student229@unihub.edu.vn,Vu Gia Dung,06032002
21127230,student230@unihub.edu.vn,Do Quoc Son,13012000
21127231,student231@unihub.edu.vn,Hoang Quoc Tung,23122000
21127232,student232@unihub.edu.vn,Hoang Duc Lam,11102002
21127233,student233@unihub.edu.vn,Pham Minh Yen,01042001
21127234,student234@unihub.edu.vn,Nguyen Quoc Em,27082005
21127235,student235@unihub.edu.vn,Vu Duc Em,06052000
21127236,student236@unihub.edu.vn,Nguyen Thi Oanh,07012000
21127237,student237@unihub.edu.vn,Phan Duc Oanh,12012001
21127238,student238@unihub.edu.vn,Phan Duc Yen,28112000
21127239,student239@unihub.edu.vn,Bui Gia Quan,23112005
21127240,student240@unihub.edu.vn,Le Phuong Xuan,10072003
21127241,student241@unihub.edu.vn,Phan Gia Lam,17082001
21127242,student242@unihub.edu.vn,Pham Hoang Binh,07042002
21127243,student243@unihub.edu.vn,Bui Minh Dung,08042004
21127244,student244@unihub.edu.vn,Vu Anh Oanh,09042001
21127245,student245@unihub.edu.vn,Le Anh Phuc,24102001
21127246,student246@unihub.edu.vn,Pham Van Son,16122001
21127247,student247@unihub.edu.vn,Pham Thanh Vinh,21112001
21127248,student248@unihub.edu.vn,Vu Gia Oanh,27032003
21127249,student249@unihub.edu.vn,Hoang Anh Son,18052005
21127250,student250@unihub.edu.vn,Dang Van Giang,16102003
21127251,student251@unihub.edu.vn,Nguyen Anh Cuong,13072004
21127252,student252@unihub.edu.vn,Tran Thi Hanh,17092000
21127253,student253@unihub.edu.vn,Pham Duc Son,19022003
21127254,student254@unihub.edu.vn,Dang Van Minh,02012002
21127255,student255@unihub.edu.vn,Tran Minh Quan,14052001
21127256,student256@unihub.edu.vn,Bui Anh Quan,03112004
21127257,student257@unihub.edu.vn,Vu Van Ri,08112003
21127258,student258@unihub.edu.vn,Vu Thi Dung,10062005
21127259,student259@unihub.edu.vn,Nguyen Quoc Dung,14052005
21127260,student260@unihub.edu.vn,Do Anh Em,26122005
21127261,student261@unihub.edu.vn,Pham Thi Uyen,02052004
21127262,student262@unihub.edu.vn,Bui Quoc Cuong,05012000
21127263,student263@unihub.edu.vn,Vu Van Hanh,22122005
21127264,student264@unihub.edu.vn,Bui Phuong Khanh,26092005
21127265,student265@unihub.edu.vn,Le Van Minh,22022002
21127266,student266@unihub.edu.vn,Vu Minh Quan,14012005
21127267,student267@unihub.edu.vn,Phan Duc Em,05062002
21127268,student268@unihub.edu.vn,Do Anh Giang,16022002
21127269,student269@unihub.edu.vn,Dang Hoang Giang,11092000
21127270,student270@unihub.edu.vn,Hoang Gia Xuan,12052003
21127271,student271@unihub.edu.vn,Phan Gia Phuc,25042004
21127272,student272@unihub.edu.vn,Nguyen Thi An,26042004
21127273,student273@unihub.edu.vn,Le Duc Khanh,10102005
21127274,student274@unihub.edu.vn,Le Duc Hanh,04082003
21127275,student275@unihub.edu.vn,Le Phuong Nam,18122005
21127276,student276@unihub.edu.vn,Nguyen Phuong Phuc,11052002
21127277,student277@unihub.edu.vn,Pham Thi An,12022004
21127278,student278@unihub.edu.vn,Tran Phuong Giang,27102003
21127279,student279@unihub.edu.vn,Tran Duc Vinh,11092001
21127280,student280@unihub.edu.vn,Hoang Anh Ri,23012000
21127281,student281@unihub.edu.vn,Vu Thi Ien,27012002
21127282,student282@unihub.edu.vn,Tran Quoc Khanh,19102004
21127283,student283@unihub.edu.vn,Nguyen Gia Tung,22012004
21127284,student284@unihub.edu.vn,Tran Gia Son,23032005
21127285,student285@unihub.edu.vn,Phan Thi Cuong,11112000
21127286,student286@unihub.edu.vn,Do Quoc Ri,08012003
21127287,student287@unihub.edu.vn,Vu Hoang Em,07032003
21127288,student288@unihub.edu.vn,Vu Minh Phuc,11112001
21127289,student289@unihub.edu.vn,Le Minh Phong,02102005
21127290,student290@unihub.edu.vn,Tran Thanh Nam,02052003
21127291,student291@unihub.edu.vn,Do Thanh Em,06012001
21127292,student292@unihub.edu.vn,Pham Duc Nam,09072000
21127293,student293@unihub.edu.vn,Phan Gia Xuan,07042004
21127294,student294@unihub.edu.vn,Bui Duc Cuong,01022001
21127295,student295@unihub.edu.vn,Nguyen Thanh Em,24092005
21127296,student296@unihub.edu.vn,Pham Thanh Tung,01022003
21127297,student297@unihub.edu.vn,Dang Anh Nam,23062005
21127298,student298@unihub.edu.vn,Do Phuong Uyen,22062003
21127299,student299@unihub.edu.vn,Nguyen Thanh Quan,22082001
21127300,student300@unihub.edu.vn,Bui Thanh Xuan,10122003
21127301,student301@unihub.edu.vn,Pham Anh Khanh,25122001
21127302,student302@unihub.edu.vn,Bui Hoang Quan,24092001
21127303,student303@unihub.edu.vn,Dang Thanh Hanh,01092000
21127304,student304@unihub.edu.vn,Dang Thi Hanh,26102000
21127305,student305@unihub.edu.vn,Pham Quoc Cuong,09032000
21127306,student306@unihub.edu.vn,Nguyen Phuong Yen,06052005
21127307,student307@unihub.edu.vn,Nguyen Minh Quan,04102002
21127308,student308@unihub.edu.vn,Phan Thi Tung,17032003
21127309,student309@unihub.edu.vn,Vu Duc Nam,01102003
21127310,student310@unihub.edu.vn,Pham Thanh Uyen,25072002
21127311,student311@unihub.edu.vn,Vu Phuong Giang,26092000
21127312,student312@unihub.edu.vn,Do Duc Phuc,20042004
21127313,student313@unihub.edu.vn,Bui Quoc Quan,05052005
21127314,student314@unihub.edu.vn,Vu Minh Nam,23102005
21127315,student315@unihub.edu.vn,Vu Thanh Dung,16032003
21127316,student316@unihub.edu.vn,Bui Anh Khanh,08022002
21127317,student317@unihub.edu.vn,Bui Duc Minh,26012001
21127318,student318@unihub.edu.vn,Do Duc Lam,24082002
21127319,student319@unihub.edu.vn,Dang Gia Xuan,17062000
21127320,student320@unihub.edu.vn,Tran Thanh Oanh,06092004
21127321,student321@unihub.edu.vn,Pham Duc Yen,25052002
21127322,student322@unihub.edu.vn,Pham Quoc Son,25112004
21127323,student323@unihub.edu.vn,Phan Quoc Hanh,03042005
21127324,student324@unihub.edu.vn,Nguyen Hoang Em,16122002
21127325,student325@unihub.edu.vn,Tran Van Nam,13122004
21127326,student326@unihub.edu.vn,Le Phuong Son,02092001
21127327,student327@unihub.edu.vn,Tran Hoang Hanh,06122003
21127328,student328@unihub.edu.vn,Hoang Phuong Oanh,26062001
21127329,student329@unihub.edu.vn,Dang Quoc Son,26122003
21127330,student330@unihub.edu.vn,Nguyen Thi Oanh,25122001
21127331,student331@unihub.edu.vn,Vu Minh Phong,02092003
21127332,student332@unihub.edu.vn,Pham Quoc Phuc,10012005
21127333,student333@unihub.edu.vn,Le Anh Ien,06052003
21127334,student334@unihub.edu.vn,Phan Duc Oanh,28112004
21127335,student335@unihub.edu.vn,Nguyen Anh Binh,13102002
21127336,student336@unihub.edu.vn,Phan Anh Xuan,14082000
21127337,student337@unihub.edu.vn,Hoang Hoang An,25022001
21127338,student338@unihub.edu.vn,Hoang Van Yen,02012000
21127339,student339@unihub.edu.vn,Bui Hoang Hanh,07062000
21127340,student340@unihub.edu.vn,Nguyen Phuong Khanh,25082005
21127341,student341@unihub.edu.vn,Pham Van Giang,08062004
21127342,student342@unihub.edu.vn,Vu Quoc Ri,22022000
21127343,student343@unihub.edu.vn,Nguyen Duc Vinh,16052001
21127344,student344@unihub.edu.vn,Bui Hoang Yen,19112003
21127345,student345@unihub.edu.vn,Hoang Hoang Phuc,09062005
21127346,student346@unihub.edu.vn,Do Thi Khanh,05112004
21127347,student347@unihub.edu.vn,Tran Anh An,07022004
21127348,student348@unihub.edu.vn,Nguyen Hoang Phong,26062000
21127349,student349@unihub.edu.vn,Dang Anh Em,24092002
21127350,student350@unihub.edu.vn,Dang Gia Yen,16082004
21127351,student351@unihub.edu.vn,Nguyen Quoc An,15052005
21127352,student352@unihub.edu.vn,Phan Van Uyen,28042002
21127353,student353@unihub.edu.vn,Bui Minh Em,26062001
21127354,student354@unihub.edu.vn,Tran Gia Binh,02082000
21127355,student355@unihub.edu.vn,Pham Thi Ri,08032000
21127356,student356@unihub.edu.vn,Phan Quoc Vinh,17102005
21127357,student357@unihub.edu.vn,Dang Van Phong,20102002
21127358,student358@unihub.edu.vn,Phan Van Phong,02032005
21127359,student359@unihub.edu.vn,Bui Hoang Ri,14082005
21127360,student360@unihub.edu.vn,Le Thanh Minh,08022003
21127361,student361@unihub.edu.vn,Phan Thanh Phong,20122001
21127362,student362@unihub.edu.vn,Pham Quoc Nam,18052001
21127363,student363@unihub.edu.vn,Do Duc Xuan,04032000
21127364,student364@unihub.edu.vn,Bui Minh Cuong,13062003
21127365,student365@unihub.edu.vn,Do Hoang Ien,19032003
21127366,student366@unihub.edu.vn,Nguyen Phuong Cuong,01092003
21127367,student367@unihub.edu.vn,Pham Minh Tung,27072004
21127368,student368@unihub.edu.vn,Le Anh An,03102000
21127369,student369@unihub.edu.vn,Dang Duc Hanh,09022000
21127370,student370@unihub.edu.vn,Do Gia Binh,03032005
21127371,student371@unihub.edu.vn,Bui Quoc Phong,28062000
21127372,student372@unihub.edu.vn,Phan Thi Yen,23062004
21127373,student373@unihub.edu.vn,Le Hoang Giang,15092003
21127374,student374@unihub.edu.vn,Le Van Phong,07102001
21127375,student375@unihub.edu.vn,Le Minh Hanh,24112001
21127376,student376@unihub.edu.vn,Pham Thi Quan,21122000
21127377,student377@unihub.edu.vn,Le Hoang Binh,15062005
21127378,student378@unihub.edu.vn,Do Thi Em,24012000
21127379,student379@unihub.edu.vn,Dang Phuong Lam,13072001
21127380,student380@unihub.edu.vn,Do Gia Cuong,27082005
21127381,student381@unihub.edu.vn,Hoang Hoang Yen,15122000
21127382,student382@unihub.edu.vn,Phan Minh Cuong,14092001
21127383,student383@unihub.edu.vn,Do Duc Giang,08022000
21127384,student384@unihub.edu.vn,Le Thanh Dung,08092003
21127385,student385@unihub.edu.vn,Dang Van Cuong,04062004
21127386,student386@unihub.edu.vn,Phan Minh Yen,23032001
21127387,student387@unihub.edu.vn,Tran Van Giang,18062005
21127388,student388@unihub.edu.vn,Vu Thanh Uyen,19112002
21127389,student389@unihub.edu.vn,Pham Quoc Binh,09112004
21127390,student390@unihub.edu.vn,Nguyen Thanh An,16072003
21127391,student391@unihub.edu.vn,Tran Phuong Lam,22112002
21127392,student392@unihub.edu.vn,Phan Minh Cuong,01012004
21127393,student393@unihub.edu.vn,Pham Van Quan,14072003
21127394,student394@unihub.edu.vn,Bui Thi An,05112002
21127395,student395@unihub.edu.vn,Phan Thanh Cuong,10052002
21127396,student396@unihub.edu.vn,Bui Hoang Phuc,23112002
21127397,student397@unihub.edu.vn,Phan Hoang Minh,03052001
21127398,student398@unihub.edu.vn,Phan Minh An,03022005
21127399,student399@unihub.edu.vn,Phan Gia Ien,18062001
21127400,student400@unihub.edu.vn,Nguyen Minh Ien,26072004
21127401,student401@unihub.edu.vn,Hoang Hoang Cuong,27042001
21127402,student402@unihub.edu.vn,Hoang Anh Yen,12022000
21127403,student403@unihub.edu.vn,Do Thi Ri,02072000
21127404,student404@unihub.edu.vn,Tran Van Giang,03082003
21127405,student405@unihub.edu.vn,Phan Gia Vinh,20092004
21127406,student406@unihub.edu.vn,Bui Phuong Hanh,13012000
21127407,student407@unihub.edu.vn,Pham Thi Lam,01092001
21127408,student408@unihub.edu.vn,Vu Duc Vinh,24032004
21127409,student409@unihub.edu.vn,Hoang Anh Uyen,16092005
21127410,student410@unihub.edu.vn,Pham Thanh Xuan,08122002
21127411,student411@unihub.edu.vn,Le Phuong Hanh,09032001
21127412,student412@unihub.edu.vn,Nguyen Quoc An,19052000
21127413,student413@unihub.edu.vn,Hoang Thanh Cuong,13102000
21127414,student414@unihub.edu.vn,Le Van Minh,12012005
21127415,student415@unihub.edu.vn,Vu Minh Quan,20082002
21127416,student416@unihub.edu.vn,Pham Quoc Khanh,15072003
21127417,student417@unihub.edu.vn,Pham Thi Khanh,01062005
21127418,student418@unihub.edu.vn,Le Anh Ri,10112003
21127419,student419@unihub.edu.vn,Tran Thi Cuong,13122001
21127420,student420@unihub.edu.vn,Bui Thi Giang,19012004
21127421,student421@unihub.edu.vn,Pham Quoc Uyen,23012002
21127422,student422@unihub.edu.vn,Tran Duc Yen,14072003
21127423,student423@unihub.edu.vn,Do Quoc Dung,20052002
21127424,student424@unihub.edu.vn,Vu Hoang Oanh,06042003
21127425,student425@unihub.edu.vn,Le Quoc Quan,24112005
21127426,student426@unihub.edu.vn,Pham Gia Quan,20082003
21127427,student427@unihub.edu.vn,Phan Phuong Minh,09102000
21127428,student428@unihub.edu.vn,Tran Phuong Dung,25022005
21127429,student429@unihub.edu.vn,Vu Van Xuan,02072002
21127430,student430@unihub.edu.vn,Vu Quoc Ien,28062000
21127431,student431@unihub.edu.vn,Phan Quoc An,26032005
21127432,student432@unihub.edu.vn,Hoang Quoc Hanh,17032004
21127433,student433@unihub.edu.vn,Tran Thanh Yen,11122003
21127434,student434@unihub.edu.vn,Vu Duc Ien,14112001
21127435,student435@unihub.edu.vn,Phan Thanh Binh,16112000
21127436,student436@unihub.edu.vn,Bui Thi Lam,23072005
21127437,student437@unihub.edu.vn,Pham Thanh Quan,08052001
21127438,student438@unihub.edu.vn,Dang Phuong Dung,23042004
21127439,student439@unihub.edu.vn,Do Quoc Em,11042003
21127440,student440@unihub.edu.vn,Dang Quoc Uyen,11052001
21127441,student441@unihub.edu.vn,Dang Duc Tung,08122000
21127442,student442@unihub.edu.vn,Nguyen Anh Ien,12122001
21127443,student443@unihub.edu.vn,Vu Hoang Ri,14122003
